county,office,district,party,candidate,votes,,,,,,,,,
Richmond,President,,WEP,Hillary Clinton,423,,,,,,,,,
Total,President,,WEP,Hillary Clinton,36292,,,,,,,,,
Albany,President,,LBT,Gary Johnson,1693,,,,,,,,,
Allegany,President,,LBT,Gary Johnson,208,,,,,,,,,
Broome,President,,LBT,Gary Johnson,1059,,,,,,,,,
Cattaraugus,President,,LBT,Gary Johnson,314,,,,,,,,,
Cayuga,President,,LBT,Gary Johnson,350,,,,,,,,,
Chautauqua,President,,LBT,Gary Johnson,602,,,,,,,,,
Chemung,President,,LBT,Gary Johnson,435,,,,,,,,,
Chenango,President,,LBT,Gary Johnson,282,,,,,,,,,
Clinton,President,,LBT,Gary Johnson,348,,,,,,,,,
Columbia,President,,LBT,Gary Johnson,318,,,,,,,,,
Cortland,President,,LBT,Gary Johnson,275,,,,,,,,,
Delaware,President,,LBT,Gary Johnson,174,,,,,,,,,
Dutchess,President,,LBT,Gary Johnson,1234,,,,,,,,,
Erie,President,,LBT,Gary Johnson,4257,,,,,,,,,
Essex,President,,LBT,Gary Johnson,195,,,,,,,,,
Franklin,President,,LBT,Gary Johnson,212,,,,,,,,,
Fulton,President,,LBT,Gary Johnson,247,,,,,,,,,
Genesee,President,,LBT,Gary Johnson,417,,,,,,,,,
Greene,President,,LBT,Gary Johnson,189,,,,,,,,,
Hamilton,President,,LBT,Gary Johnson,40,,,,,,,,,
Herkimer,President,,LBT,Gary Johnson,262,,,,,,,,,
Jefferson,President,,LBT,Gary Johnson,432,,,,,,,,,
Lewis,President,,LBT,Gary Johnson,100,,,,,,,,,
Livingston,President,,LBT,Gary Johnson,414,,,,,,,,,
Madison,President,,LBT,Gary Johnson,485,,,,,,,,,
Monroe,President,,LBT,Gary Johnson,4565,,,,,,,,,
Montgomery,President,,LBT,Gary Johnson,230,,,,,,,,,
Nassau,President,,LBT,Gary Johnson,4142,,,,,,,,,
Niagara,President,,LBT,Gary Johnson,806,,,,,,,,,
Oneida,President,,LBT,Gary Johnson,1072,,,,,,,,,
Onondaga,President,,LBT,Gary Johnson,2671,,,,,,,,,
Ontario,President,,LBT,Gary Johnson,765,,,,,,,,,
Orange,President,,LBT,Gary Johnson,1180,,,,,,,,,
Orleans,President,,LBT,Gary Johnson,210,,,,,,,,,
Oswego,President,,LBT,Gary Johnson,583,,,,,,,,,
Otsego,President,,LBT,Gary Johnson,343,,,,,,,,,
Putnam,President,,LBT,Gary Johnson,420,,,,,,,,,
Rensselaer,President,,LBT,Gary Johnson,985,,,,,,,,,
Rockland,President,,LBT,Gary Johnson,755,,,,,,,,,
Saratoga,President,,LBT,Gary Johnson,1762,,,,,,,,,
Schenectady,President,,LBT,Gary Johnson,854,,,,,,,,,
Schoharie,President,,LBT,Gary Johnson,149,,,,,,,,,
Schuyler,President,,LBT,Gary Johnson,103,,,,,,,,,
Seneca,President,,LBT,Gary Johnson,174,,,,,,,,,
St. Lawrence,President,,LBT,Gary Johnson,411,,,,,,,,,
Steuben,President,,LBT,Gary Johnson,499,,,,,,,,,
Suffolk,President,,LBT,Gary Johnson,4747,,,,,,,,,
Sullivan,President,,LBT,Gary Johnson,196,,,,,,,,,
Tioga,President,,LBT,Gary Johnson,307,,,,,,,,,
Tompkins,President,,LBT,Gary Johnson,538,,,,,,,,,
Ulster,President,,LBT,Gary Johnson,822,,,,,,,,,
Warren,President,,LBT,Gary Johnson,401,,,,,,,,,
Washington,President,,LBT,Gary Johnson,282,,,,,,,,,
Wayne,President,,LBT,Gary Johnson,520,,,,,,,,,
Westchester,President,,LBT,Gary Johnson,3144,,,,,,,,,
Wyoming,President,,LBT,Gary Johnson,199,,,,,,,,,
Yates,President,,LBT,Gary Johnson,149,,,,,,,,,
Bronx,President,,LBT,Gary Johnson,480,,,,,,,,,
Kings,President,,LBT,Gary Johnson,2078,,,,,,,,,
New York,President,,LBT,Gary Johnson,3820,,,,,,,,,
Queens,President,,LBT,Gary Johnson,1846,,,,,,,,,
Richmond,President,,LBT,Gary Johnson,688,,,,,,,,,
Total,President,,LBT,Gary Johnson,57438,,,,,,,,,
Albany,President,,,Evan McMullin,273,,,,,,,,,
Allegany,President,,,Evan McMullin,90,,,,,,,,,
Broome,President,,,Evan McMullin,214,,,,,,,,,
Cattaraugus,President,,,Evan McMullin,73,,,,,,,,,
Cayuga,President,,,Evan McMullin,65,,,,,,,,,
Chautauqua,President,,,Evan McMullin,95,,,,,,,,,
Chemung,President,,,Evan McMullin,76,,,,,,,,,
Chenango,President,,,Evan McMullin,17,,,,,,,,,
Clinton,President,,,Evan McMullin,48,,,,,,,,,
Columbia,President,,,Evan McMullin,63,,,,,,,,,
Cortland,President,,,Evan McMullin,57,,,,,,,,,
Delaware,President,,,Evan McMullin,39,,,,,,,,,
Dutchess,President,,,Evan McMullin,231,,,,,,,,,
Erie,President,,,Evan McMullin,593,,,,,,,,,
Essex,President,,,Evan McMullin,42,,,,,,,,,
Franklin,President,,,Evan McMullin,40,,,,,,,,,
Fulton,President,,,Evan McMullin,17,,,,,,,,,
Genesee,President,,,Evan McMullin,40,,,,,,,,,
Greene,President,,,Evan McMullin,25,,,,,,,,,
Hamilton,President,,,Evan McMullin,0,,,,,,,,,
Herkimer,President,,,Evan McMullin,49,,,,,,,,,
Jefferson,President,,,Evan McMullin,60,,,,,,,,,
Lewis,President,,,Evan McMullin,30,,,,,,,,,
Livingston,President,,,Evan McMullin,102,,,,,,,,,
Madison,President,,,Evan McMullin,83,,,,,,,,,
Monroe,President,,,Evan McMullin,990,,,,,,,,,
Montgomery,President,,,Evan McMullin,36,,,,,,,,,
Nassau,President,,,Evan McMullin,603,,,,,,,,,
Niagara,President,,,Evan McMullin,118,,,,,,,,,
Oneida,President,,,Evan McMullin,158,,,,,,,,,
Onondaga,President,,,Evan McMullin,624,,,,,,,,,
Ontario,President,,,Evan McMullin,173,,,,,,,,,
Orange,President,,,Evan McMullin,137,,,,,,,,,
Orleans,President,,,Evan McMullin,23,,,,,,,,,
Oswego,President,,,Evan McMullin,112,,,,,,,,,
Otsego,President,,,Evan McMullin,58,,,,,,,,,
Putnam,President,,,Evan McMullin,52,,,,,,,,,
Rensselaer,President,,,Evan McMullin,119,,,,,,,,,
Rockland,President,,,Evan McMullin,155,,,,,,,,,
Saratoga,President,,,Evan McMullin,330,,,,,,,,,
Schenectady,President,,,Evan McMullin,132,,,,,,,,,
Schoharie,President,,,Evan McMullin,37,,,,,,,,,
Schuyler,President,,,Evan McMullin,18,,,,,,,,,
Seneca,President,,,Evan McMullin,35,,,,,,,,,
St. Lawrence,President,,,Evan McMullin,76,,,,,,,,,
Steuben,President,,,Evan McMullin,91,,,,,,,,,
Suffolk,President,,,Evan McMullin,509,,,,,,,,,
Sullivan,President,,,Evan McMullin,18,,,,,,,,,
Tioga,President,,,Evan McMullin,50,,,,,,,,,
Tompkins,President,,,Evan McMullin,140,,,,,,,,,
Ulster,President,,,Evan McMullin,112,,,,,,,,,
Warren,President,,,Evan McMullin,64,,,,,,,,,
Washington,President,,,Evan McMullin,73,,,,,,,,,
Wayne,President,,,Evan McMullin,116,,,,,,,,,
Westchester,President,,,Evan McMullin,534,,,,,,,,,
Wyoming,President,,,Evan McMullin,30,,,,,,,,,
Yates,President,,,Evan McMullin,27,,,,,,,,,
Bronx,President,,,Evan McMullin,108,,,,,,,,,
Kings,President,,,Evan McMullin,537,,,,,,,,,
New York,President,,,Evan McMullin,962,,,,,,,,,
Queens,President,,,Evan McMullin,477,,,,,,,,,
Richmond,President,,,Evan McMullin,141,,,,,,,,,
Total,President,,,Evan McMullin,10397,,,,,,,,,
Albany,President,,,Write-ins,81,,,,,,,,,
Allegany,President,,,Write-ins,9,,,,,,,,,
Broome,President,,,Write-ins,47,,,,,,,,,
Cattaraugus,President,,,Write-ins,8,,,,,,,,,
Cayuga,President,,,Write-ins,35,,,,,,,,,
Chautauqua,President,,,Write-ins,9,,,,,,,,,
Chemung,President,,,Write-ins,18,,,,,,,,,
Chenango,President,,,Write-ins,4,,,,,,,,,
Clinton,President,,,Write-ins,22,,,,,,,,,
Columbia,President,,,Write-ins,19,,,,,,,,,
Cortland,President,,,Write-ins,5,,,,,,,,,
Delaware,President,,,Write-ins,14,,,,,,,,,
Dutchess,President,,,Write-ins,57,,,,,,,,,
Erie,President,,,Write-ins,186,,,,,,,,,
Essex,President,,,Write-ins,11,,,,,,,,,
Franklin,President,,,Write-ins,6,,,,,,,,,
Fulton,President,,,Write-ins,4,,,,,,,,,
Genesee,President,,,Write-ins,7,,,,,,,,,
Greene,President,,,Write-ins,67,,,,,,,,,
Hamilton,President,,,Write-ins,0,,,,,,,,,
Herkimer,President,,,Write-ins,19,,,,,,,,,
Jefferson,President,,,Write-ins,20,,,,,,,,,
Lewis,President,,,Write-ins,10,,,,,,,,,
Livingston,President,,,Write-ins,20,,,,,,,,,
Madison,President,,,Write-ins,17,,,,,,,,,
Monroe,President,,,Write-ins,230,,,,,,,,,
Montgomery,President,,,Write-ins,21,,,,,,,,,
Nassau,President,,,Write-ins,122,,,,,,,,,
Niagara,President,,,Write-ins,11,,,,,,,,,
Oneida,President,,,Write-ins,31,,,,,,,,,
Onondaga,President,,,Write-ins,121,,,,,,,,,
Ontario,President,,,Write-ins,56,,,,,,,,,
Orange,President,,,Write-ins,46,,,,,,,,,
Orleans,President,,,Write-ins,8,,,,,,,,,
Oswego,President,,,Write-ins,51,,,,,,,,,
Otsego,President,,,Write-ins,12,,,,,,,,,
Putnam,President,,,Write-ins,8,,,,,,,,,
Rensselaer,President,,,Write-ins,50,,,,,,,,,
Rockland,President,,,Write-ins,39,,,,,,,,,
Saratoga,President,,,Write-ins,69,,,,,,,,,
Schenectady,President,,,Write-ins,51,,,,,,,,,
Schoharie,President,,,Write-ins,19,,,,,,,,,
Schuyler,President,,,Write-ins,6,,,,,,,,,
Seneca,President,,,Write-ins,6,,,,,,,,,
St. Lawrence,President,,,Write-ins,3,,,,,,,,,
Steuben,President,,,Write-ins,12,,,,,,,,,
Suffolk,President,,,Write-ins,122,,,,,,,,,
Sullivan,President,,,Write-ins,6,,,,,,,,,
Tioga,President,,,Write-ins,4,,,,,,,,,
Tompkins,President,,,Write-ins,25,,,,,,,,,
Ulster,President,,,Write-ins,48,,,,,,,,,
Warren,President,,,Write-ins,20,,,,,,,,,
Washington,President,,,Write-ins,7,,,,,,,,,
Wayne,President,,,Write-ins,32,,,,,,,,,
Westchester,President,,,Write-ins,82,,,,,,,,,
Wyoming,President,,,Write-ins,5,,,,,,,,,
Yates,President,,,Write-ins,8,,,,,,,,,
Bronx,President,,,Write-ins,50,,,,,,,,,
Kings,President,,,Write-ins,159,,,,,,,,,
New York,President,,,Write-ins,115,,,,,,,,,
Queens,President,,,Write-ins,129,,,,,,,,,
Richmond,President,,,Write-ins,39,,,,,,,,,
Total,President,,,Write-ins,2518,,,,,,,,,
Albany,President,,,Blanks,1350,,,,,,,,,
Allegany,President,,,Blanks,178,,,,,,,,,
Broome,President,,,Blanks,1038,,,,,,,,,
Cattaraugus,President,,,Blanks,320,,,,,,,,,
Cayuga,President,,,Blanks,259,,,,,,,,,
Chautauqua,President,,,Blanks,576,,,,,,,,,
Chemung,President,,,Blanks,395,,,,,,,,,
Chenango,President,,,Blanks,148,,,,,,,,,
Clinton,President,,,Blanks,2414,,,,,,,,,
Columbia,President,,,Blanks,230,,,,,,,,,
Cortland,President,,,Blanks,209,,,,,,,,,
Delaware,President,,,Blanks,131,,,,,,,,,
Dutchess,President,,,Blanks,1084,,,,,,,,,
Erie,President,,,Blanks,7912,,,,,,,,,
Essex,President,,,Blanks,244,,,,,,,,,
Franklin,President,,,Blanks,227,,,,,,,,,
Fulton,President,,,Blanks,238,,,,,,,,,
Genesee,President,,,Blanks,240,,,,,,,,,
Greene,President,,,Blanks,269,,,,,,,,,
Hamilton,President,,,Blanks,52,,,,,,,,,
Herkimer,President,,,Blanks,227,,,,,,,,,
Jefferson,President,,,Blanks,327,,,,,,,,,
Lewis,President,,,Blanks,125,,,,,,,,,
Livingston,President,,,Blanks,253,,,,,,,,,
Madison,President,,,Blanks,288,,,,,,,,,
Monroe,President,,,Blanks,2984,,,,,,,,,
Montgomery,President,,,Blanks,203,,,,,,,,,
Nassau,President,,,Blanks,5865,,,,,,,,,
Niagara,President,,,Blanks,1891,,,,,,,,,
Oneida,President,,,Blanks,864,,,,,,,,,
Onondaga,President,,,Blanks,4424,,,,,,,,,
Ontario,President,,,Blanks,415,,,,,,,,,
Orange,President,,,Blanks,4521,,,,,,,,,
Orleans,President,,,Blanks,182,,,,,,,,,
Oswego,President,,,Blanks,343,,,,,,,,,
Otsego,President,,,Blanks,221,,,,,,,,,
Putnam,President,,,Blanks,302,,,,,,,,,
Rensselaer,President,,,Blanks,558,,,,,,,,,
Rockland,President,,,Blanks,2865,,,,,,,,,
Saratoga,President,,,Blanks,1024,,,,,,,,,
Schenectady,President,,,Blanks,583,,,,,,,,,
Schoharie,President,,,Blanks,111,,,,,,,,,
Schuyler,President,,,Blanks,59,,,,,,,,,
Seneca,President,,,Blanks,104,,,,,,,,,
St. Lawrence,President,,,Blanks,474,,,,,,,,,
Steuben,President,,,Blanks,309,,,,,,,,,
Suffolk,President,,,Blanks,5028,,,,,,,,,
Sullivan,President,,,Blanks,502,,,,,,,,,
Tioga,President,,,Blanks,247,,,,,,,,,
Tompkins,President,,,Blanks,338,,,,,,,,,
Ulster,President,,,Blanks,889,,,,,,,,,
Warren,President,,,Blanks,291,,,,,,,,,
Washington,President,,,Blanks,245,,,,,,,,,
Wayne,President,,,Blanks,289,,,,,,,,,
Westchester,President,,,Blanks,3400,,,,,,,,,
Wyoming,President,,,Blanks,183,,,,,,,,,
Yates,President,,,Blanks,152,,,,,,,,,
Bronx,President,,,Blanks,3455,,,,,,,,,
Kings,President,,,Blanks,4900,,,,,,,,,
New York,President,,,Blanks,4172,,,,,,,,,
Queens,President,,,Blanks,4816,,,,,,,,,
Richmond,President,,,Blanks,1160,,,,,,,,,
Total,President,,,Blanks,77103,,,,,,,,,
Albany,President,,,Void,145,,,,,,,,,
Allegany,President,,,Void,2,,,,,,,,,
Broome,President,,,Void,67,,,,,,,,,
Cattaraugus,President,,,Void,72,,,,,,,,,
Cayuga,President,,,Void,16,,,,,,,,,
Chautauqua,President,,,Void,0,,,,,,,,,
Chemung,President,,,Void,0,,,,,,,,,
Chenango,President,,,Void,11,,,,,,,,,
Clinton,President,,,Void,17,,,,,,,,,
Columbia,President,,,Void,20,,,,,,,,,
Cortland,President,,,Void,0,,,,,,,,,
Delaware,President,,,Void,9,,,,,,,,,
Dutchess,President,,,Void,216,,,,,,,,,
Erie,President,,,Void,0,,,,,,,,,
Essex,President,,,Void,0,,,,,,,,,
Franklin,President,,,Void,10,,,,,,,,,
Fulton,President,,,Void,12,,,,,,,,,
Genesee,President,,,Void,4,,,,,,,,,
Greene,President,,,Void,6,,,,,,,,,
Hamilton,President,,,Void,0,,,,,,,,,
Herkimer,President,,,Void,215,,,,,,,,,
Jefferson,President,,,Void,50,,,,,,,,,
Lewis,President,,,Void,5,,,,,,,,,
Livingston,President,,,Void,29,,,,,,,,,
Madison,President,,,Void,1,,,,,,,,,
Monroe,President,,,Void,194,,,,,,,,,
Montgomery,President,,,Void,17,,,,,,,,,
Nassau,President,,,Void,689,,,,,,,,,
Niagara,President,,,Void,0,,,,,,,,,
Oneida,President,,,Void,39,,,,,,,,,
Onondaga,President,,,Void,0,,,,,,,,,
Ontario,President,,,Void,18,,,,,,,,,
Orange,President,,,Void,124,,,,,,,,,
Orleans,President,,,Void,7,,,,,,,,,
Oswego,President,,,Void,24,,,,,,,,,
Otsego,President,,,Void,48,,,,,,,,,
Putnam,President,,,Void,0,,,,,,,,,
Rensselaer,President,,,Void,15,,,,,,,,,
Rockland,President,,,Void,97,,,,,,,,,
Saratoga,President,,,Void,0,,,,,,,,,
Schenectady,President,,,Void,42,,,,,,,,,
Schoharie,President,,,Void,4,,,,,,,,,
Schuyler,President,,,Void,2,,,,,,,,,
Seneca,President,,,Void,6,,,,,,,,,
St. Lawrence,President,,,Void,0,,,,,,,,,
Steuben,President,,,Void,23,,,,,,,,,
Suffolk,President,,,Void,208,,,,,,,,,
Sullivan,President,,,Void,27,,,,,,,,,
Tioga,President,,,Void,9,,,,,,,,,
Tompkins,President,,,Void,23,,,,,,,,,
Ulster,President,,,Void,844,,,,,,,,,
Warren,President,,,Void,17,,,,,,,,,
Washington,President,,,Void,0,,,,,,,,,
Wayne,President,,,Void,33,,,,,,,,,
Westchester,President,,,Void,0,,,,,,,,,
Wyoming,President,,,Void,20,,,,,,,,,
Yates,President,,,Void,3,,,,,,,,,
Bronx,President,,,Void,0,,,,,,,,,
Kings,President,,,Void,0,,,,,,,,,
New York,President,,,Void,0,,,,,,,,,
Queens,President,,,Void,0,,,,,,,,,
Richmond,President,,,Void,0,,,,,,,,,
Total,President,,,Void,3440,,,,,,,,,
Albany,President,,,Scattering,1318,,,,,,,,,
Allegany,President,,,Scattering,176,,,,,,,,,
Broome,President,,,Scattering,864,,,,,,,,,
Cattaraugus,President,,,Scattering,205,,,,,,,,,
Cayuga,President,,,Scattering,307,,,,,,,,,
Chautauqua,President,,,Scattering,485,,,,,,,,,
Chemung,President,,,Scattering,261,,,,,,,,,
Chenango,President,,,Scattering,169,,,,,,,,,
Clinton,President,,,Scattering,602,,,,,,,,,
Columbia,President,,,Scattering,238,,,,,,,,,
Cortland,President,,,Scattering,180,,,,,,,,,
Delaware,President,,,Scattering,143,,,,,,,,,
Dutchess,President,,,Scattering,1002,,,,,,,,,
Erie,President,,,Scattering,0,,,,,,,,,
Essex,President,,,Scattering,297,,,,,,,,,
Franklin,President,,,Scattering,312,,,,,,,,,
Fulton,President,,,Scattering,145,,,,,,,,,
Genesee,President,,,Scattering,177,,,,,,,,,
Greene,President,,,Scattering,391,,,,,,,,,
Hamilton,President,,,Scattering,49,,,,,,,,,
Herkimer,President,,,Scattering,0,,,,,,,,,
Jefferson,President,,,Scattering,297,,,,,,,,,
Lewis,President,,,Scattering,111,,,,,,,,,
Livingston,President,,,Scattering,197,,,,,,,,,
Madison,President,,,Scattering,263,,,,,,,,,
Monroe,President,,,Scattering,2902,,,,,,,,,
Montgomery,President,,,Scattering,143,,,,,,,,,
Nassau,President,,,Scattering,4147,,,,,,,,,
Niagara,President,,,Scattering,601,,,,,,,,,
Oneida,President,,,Scattering,651,,,,,,,,,
Onondaga,President,,,Scattering,0,,,,,,,,,
Ontario,President,,,Scattering,429,,,,,,,,,
Orange,President,,,Scattering,894,,,,,,,,,
Orleans,President,,,Scattering,79,,,,,,,,,
Oswego,President,,,Scattering,392,,,,,,,,,
Otsego,President,,,Scattering,253,,,,,,,,,
Putnam,President,,,Scattering,352,,,,,,,,,
Rensselaer,President,,,Scattering,651,,,,,,,,,
Rockland,President,,,Scattering,1008,,,,,,,,,
Saratoga,President,,,Scattering,1266,,,,,,,,,
Schenectady,President,,,Scattering,646,,,,,,,,,
Schoharie,President,,,Scattering,118,,,,,,,,,
Schuyler,President,,,Scattering,82,,,,,,,,,
Seneca,President,,,Scattering,109,,,,,,,,,
St. Lawrence,President,,,Scattering,397,,,,,,,,,
Steuben,President,,,Scattering,291,,,,,,,,,
Suffolk,President,,,Scattering,4087,,,,,,,,,
Sullivan,President,,,Scattering,194,,,,,,,,,
Tioga,President,,,Scattering,192,,,,,,,,,
Tompkins,President,,,Scattering,479,,,,,,,,,
Ulster,President,,,Scattering,755,,,,,,,,,
Warren,President,,,Scattering,364,,,,,,,,,
Washington,President,,,Scattering,236,,,,,,,,,
Wayne,President,,,Scattering,208,,,,,,,,,
Westchester,President,,,Scattering,3475,,,,,,,,,
Wyoming,President,,,Scattering,64,,,,,,,,,
Yates,President,,,Scattering,72,,,,,,,,,
Bronx,President,,,Scattering,1268,,,,,,,,,
Kings,President,,,Scattering,4516,,,,,,,,,
New York,President,,,Scattering,5071,,,,,,,,,
Queens,President,,,Scattering,2880,,,,,,,,,
Richmond,President,,,Scattering,882,,,,,,,,,
Total,President,,,Scattering,48343,,,,,,,,,
Albany,President,,,Total,141313,,,,,,,,,
Allegany,President,,,Total,18872,,,,,,,,,
Broome,President,,,Total,87177,,,,,,,,,
Cattaraugus,President,,,Total,31553,,,,,,,,,
Cayuga,President,,,Total,33447,,,,,,,,,
Chautauqua,President,,,Total,54810,,,,,,,,,
Chemung,President,,,Total,36514,,,,,,,,,
Chenango,President,,,Total,20319,,,,,,,,,
Clinton,President,,,Total,34536,,,,,,,,,
Columbia,President,,,Total,31152,,,,,,,,,
Cortland,President,,,Total,20453,,,,,,,,,
Delaware,President,,,Total,19932,,,,,,,,,
Dutchess,President,,,Total,132234,,,,,,,,,
Erie,President,,,Total,431537,,,,,,,,,
Essex,President,,,Total,17462,,,,,,,,,
Franklin,President,,,Total,17189,,,,,,,,,
Fulton,President,,,Total,21464,,,,,,,,,
Genesee,President,,,Total,26676,,,,,,,,,
Greene,President,,,Total,22325,,,,,,,,,
Hamilton,President,,,Total,3277,,,,,,,,,
Herkimer,President,,,Total,26697,,,,,,,,,
Jefferson,President,,,Total,38613,,,,,,,,,
Lewis,President,,,Total,11455,,,,,,,,,
Livingston,President,,,Total,30313,,,,,,,,,
Madison,President,,,Total,30353,,,,,,,,,
Monroe,President,,,Total,350968,,,,,,,,,
Montgomery,President,,,Total,19274,,,,,,,,,
Nassau,President,,,Total,653676,,,,,,,,,
Niagara,President,,,Total,94293,,,,,,,,,
Oneida,President,,,Total,91912,,,,,,,,,
Onondaga,President,,,Total,212864,,,,,,,,,
Ontario,President,,,Total,52691,,,,,,,,,
Orange,President,,,Total,156666,,,,,,,,,
Orleans,President,,,Total,16569,,,,,,,,,
Oswego,President,,,Total,48547,,,,,,,,,
Otsego,President,,,Total,25937,,,,,,,,,
Putnam,President,,,Total,48865,,,,,,,,,
Rensselaer,President,,,Total,72135,,,,,,,,,
Rockland,President,,,Total,138049,,,,,,,,,
Saratoga,President,,,Total,115118,,,,,,,,,
Schenectady,President,,,Total,67905,,,,,,,,,
Schoharie,President,,,Total,14165,,,,,,,,,
Schuyler,President,,,Total,8833,,,,,,,,,
Seneca,President,,,Total,14090,,,,,,,,,
St. Lawrence,President,,,Total,39632,,,,,,,,,
Steuben,President,,,Total,42334,,,,,,,,,
Suffolk,President,,,Total,686490,,,,,,,,,
Sullivan,President,,,Total,30484,,,,,,,,,
Tioga,President,,,Total,22555,,,,,,,,,
Tompkins,President,,,Total,43039,,,,,,,,,
Ulster,President,,,Total,87023,,,,,,,,,
Warren,President,,,Total,31716,,,,,,,,,
Washington,President,,,Total,24773,,,,,,,,,
Wayne,President,,,Total,40009,,,,,,,,,
Westchester,President,,,Total,424055,,,,,,,,,
Wyoming,President,,,Total,17501,,,,,,,,,
Yates,President,,,Total,10221,,,,,,,,,
Bronx,President,,,Total,402977,,,,,,,,,
Kings,President,,,Total,810505,,,,,,,,,
New York,President,,,Total,673112,,,,,,,,,
Queens,President,,,Total,691209,,,,,,,,,
Richmond,President,,,Total,182120,,,,,,,,,
Total,President,,,Total,7801985,,,,,,,,,
Suffolk,U.S. House,1,DEM,Anna E. Throne-Holst,126635,,,,,,,,,
Suffolk,U.S. House,1,REP,Lee M. Zeldin,158409,,,,,,,,,
Suffolk,U.S. House,1,CON,Lee M. Zeldin,23327,,,,,,,,,
Suffolk,U.S. House,1,WOR,Anna E. Throne-Holst,6147,,,,,,,,,
Suffolk,U.S. House,1,IND,Lee M. Zeldin,5920,,,,,,,,,
Suffolk,U.S. House,1,WEP,Anna E. Throne-Holst,2496,,,,,,,,,
Suffolk,U.S. House,1,REF,Lee M. Zeldin,843,,,,,,,,,
Suffolk,U.S. House,1,,Blank,17542,,,,,,,,,
Suffolk,U.S. House,1,,Void,122,,,,,,,,,
Suffolk,U.S. House,1,,Scattering,113,,,,,,,,,
Suffolk,U.S. House,1,,Total,341554,,,,,,,,,
Nassau,U.S. House,2,DEM,Du Wayne Gregory,21986,,,,,,,,,
Nassau,U.S. House,2,REP/TRP,Peter T. King,59409,,,,,,,,,
Nassau,U.S. House,2,CON,Peter T. King,6895,,,,,,,,,
Nassau,U.S. House,2,WOR,Du Wayne Gregory,1107,,,,,,,,,
Nassau,U.S. House,2,IND,Du Wayne Gregory,627,,,,,,,,,
Nassau,U.S. House,2,WEP,Du Wayne Gregory,383,,,,,,,,,
Nassau,U.S. House,2,REF,Peter T. King,643,,,,,,,,,
Nassau,U.S. House,2,,Blank,6330,,,,,,,,,
Nassau,U.S. House,2,,Void,178,,,,,,,,,
Nassau,U.S. House,2,,Scattering,59,,,,,,,,,
Nassau,U.S. House,2,,Total,97617,,,,,,,,,
Suffolk,U.S. House,2,DEM,Du Wayne Gregory,80284,,,,,,,,,
Suffolk,U.S. House,2,REP/TRP,Peter T. King,98162,,,,,,,,,
Suffolk,U.S. House,2,CON,Peter T. King,14915,,,,,,,,,
Suffolk,U.S. House,2,WOR,Du Wayne Gregory,2910,,,,,,,,,
Suffolk,U.S. House,2,IND,Du Wayne Gregory,2586,,,,,,,,,
Suffolk,U.S. House,2,WEP,Du Wayne Gregory,1055,,,,,,,,,
Suffolk,U.S. House,2,REF,Peter T. King,1482,,,,,,,,,
Suffolk,U.S. House,2,,Blank,18330,,,,,,,,,
Suffolk,U.S. House,2,,Void,119,,,,,,,,,
Suffolk,U.S. House,2,,Scattering,92,,,,,,,,,
Suffolk,U.S. House,2,,Total,219935,,,,,,,,,
Total,U.S. House,2,DEM,Du Wayne Gregory,102270,,,,,,,,,
Total,U.S. House,2,REP/TRP,Peter T. King,157571,,,,,,,,,
Total,U.S. House,2,CON,Peter T. King,21810,,,,,,,,,
Total,U.S. House,2,WOR,Du Wayne Gregory,4017,,,,,,,,,
Total,U.S. House,2,IND,Du Wayne Gregory,3213,,,,,,,,,
Total,U.S. House,2,WEP,Du Wayne Gregory,1438,,,,,,,,,
Total,U.S. House,2,REF,Peter T. King,2125,,,,,,,,,
Total,U.S. House,2,,Blank,24660,,,,,,,,,
Total,U.S. House,2,,Void,297,,,,,,,,,
Total,U.S. House,2,,Scattering,151,,,,,,,,,
Total,U.S. House,2,,Total,317552,,,,,,,,,
Nassau,U.S. House,3,DEM,Thomas R. Suozzi,86492,,,,,,,,,
Nassau,U.S. House,3,REP,Jack M. Martins,70395,,,,,,,,,
Nassau,U.S. House,3,CON,Jack M. Martins,6956,,,,,,,,,
Nassau,U.S. House,3,REF,Jack M. Martins,721,,,,,,,,,
Nassau,U.S. House,3,,Blank,12374,,,,,,,,,
Nassau,U.S. House,3,,Void,198,,,,,,,,,
Nassau,U.S. House,3,,Scattering,79,,,,,,,,,
Nassau,U.S. House,3,,Total,177215,,,,,,,,,
Queens,U.S. House,3,DEM,Thomas R. Suozzi,29117,,,,,,,,,
Queens,U.S. House,3,REP,Jack M. Martins,13308,,,,,,,,,
Queens,U.S. House,3,CON,Jack M. Martins,1622,,,,,,,,,
Queens,U.S. House,3,REF,Jack M. Martins,445,,,,,,,,,
Queens,U.S. House,3,,Blank,4265,,,,,,,,,
Queens,U.S. House,3,,Void,0,,,,,,,,,
Queens,U.S. House,3,,Scattering,26,,,,,,,,,
Queens,U.S. House,3,,Total,48783,,,,,,,,,
